GCA_002191135.1	ECOR51
GCA_002191015.1	ECOR46
GCA_002191055.1	ECOR40
GCA_002191105.1	ECOR45
GCA_002191075.1	ECOR44
GCA_002191035.1	ECOR50
GCA_002191025.1	ECOR48
GCA_002190945.1	ECOR47
GCA_002190975.1	ECOR49
GCA_002190955.1	ECOR43
GCA_002190875.1	ECOR39
GCA_002190935.1	ECOR42
GCA_002190885.1	ECOR41
GCA_002190835.1	ECOR37
GCA_002190865.1	ECOR38
GCA_002190825.1	ECOR36
GCA_002190815.1	ECOR35
GCA_002190785.1	ECOR34
GCA_002190705.1	ECOR30
GCA_002190775.1	ECOR33
GCA_002190745.1	ECOR32
GCA_002190715.1	ECOR31
GCA_002190685.1	ECOR29
GCA_002190675.1	ECOR28
GCA_002190645.1	ECOR27
GCA_002190625.1	ECOR26
GCA_002190605.1	ECOR25
GCA_002190595.1	ECOR24
GCA_002190555.1	ECOR23
GCA_002190545.1	ECOR21
GCA_002190535.1	ECOR22
GCA_002190515.1	ECOR20
GCA_002190475.1	ECOR19
GCA_002190455.1	ECOR17
GCA_002190465.1	ECOR18
GCA_002190355.1	ECOR12
GCA_002190435.1	ECOR16
GCA_002190395.1	ECOR15
GCA_002190375.1	ECOR14
GCA_002190365.1	ECOR13
GCA_002190295.1	ECOR10
GCA_002190305.1	ECOR11
GCA_002190285.1	ECOR09
GCA_002190275.1	ECOR08
GCA_002190225.1	ECOR06
GCA_002190245.1	ECOR07
GCA_002190165.1	ECOR04
GCA_002190205.1	ECOR05
GCA_002190095.1	ECOR72
GCA_002190155.1	ECOR03
GCA_002190145.1	ECOR02
GCA_002190085.1	ECOR71
GCA_002190105.1	ECOR01
GCA_002190075.1	ECOR70
GCA_002189985.1	ECOR66
GCA_002190025.1	ECOR68
GCA_002190035.1	ECOR69
GCA_002190005.1	ECOR67
GCA_002189955.1	ECOR59
GCA_002189945.1	ECOR64
GCA_002189935.1	ECOR65
GCA_002189895.1	ECOR62
GCA_002189905.1	ECOR63
GCA_002189875.1	ECOR61
GCA_002189825.1	ECOR58
GCA_002189815.1	ECOR57
GCA_002189835.1	ECOR60
GCA_002189765.1	ECOR56
GCA_002189755.1	ECOR52
GCA_002189745.1	ECOR53
GCA_002189735.1	ECOR55
GCA_002189715.1	ECOR54
GCA_000210475.1	H10407
GCA_000017985.1	REL606
GCA_000005845.2	K-12
GCA_000017765.1	HS
GCA_000332755.1	APEC O78
GCA_000026265.1	IAI1
GCA_000215685.3	LB226692
GCA_000026325.2	UMN026
GCA_000732965.1	EDL933
GCA_000008865.1	SAKAI
GCA_000026345.1	IAI39
GCA_000026545.1	E2348/69
GCA_000007445.1	CFT073
GCA_000026285.2	S88
GCA_000013305.1	536
GCA_000214765.3	NA114
GCA_000010485.1	SE15
GCA_002110555.1	H223
	H176
	IAI64
GCA_000026305.1	ED1a
	E1492
GCA_000190955.1	M863
	ROAR019
GCA_001660175.1	B1147
	TA004
GCA_002110245.1	H605
GCA_002109985.1	E1118

